Incident_ID,Source,Source_Record_ID,Event,Location,Time,Severity_Score,Severity_Level,Details
AUD-001,Audio,C001,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: one
AUD-024,Audio,C024,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: If somebody stays with Diane, I'm home alone and he's not here. My daughter is here. If somebody is here, quick."
AUD-025,Audio,C025,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I don't have an emergency tube for this stuff, it just left my house just now."
AUD-026,Audio,C026,Fire/Structure Incident,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: My house is on fire. I don't know how to sleep in and I'll go to someone doom and I'll
AUD-027,Audio,C027,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,"
AUD-028,Audio,C028,Crime/Assault,La,N/A,8.5,High,"Sentiment: Distressed | Transcript: Yes, I have a gun and I don't it's from LA car loaded and something just got shot."
AUD-029,Audio,C029,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I have a friend who's been drinking, I've been trying to help him since him too. He is now loading several weapons in a minute."
AUD-030,Audio,C030,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm a police at where the heck am I? 291 water counts, three to immediately. We just had bullets."
AUD-031,Audio,C031,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: I'm not sure my friend is called and basically told me she was going to kill herself and I think she probably will.
AUD-032,Audio,C032,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: with the address, 750 south to 50 west."
AUD-033,Audio,C033,Fire/Structure Incident,N/A,N/A,8.5,High,"Sentiment: Distressed | Transcript: emergency. Fire. Cutting wood. So, what's the location?"
AUD-034,Audio,C034,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdose."
AUD-035,Audio,C035,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: called you like a pretending mums voice gets a little messed up
AUD-036,Audio,C036,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah man, I'm a bit late today and we're in the road. We're going to see the gas."
AUD-037,Audio,C037,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: pumping the 29 and putting back thoseumps and I just ran as far as it's coming down the long lane
AUD-038,Audio,C038,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out."
AUD-039,Audio,C039,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Please come down here. What's your, what? I don't know that address. You're gonna have to be in the end of the answers."
AUD-040,Audio,C040,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: What was your weekend of a playboy end down a month in park? A plane going down, months in park. We went down, it was..."
AUD-041,Audio,C041,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Oh, somebody is coming. Somebody help. What's going on?"
AUD-042,Audio,C042,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: Somebody was trying to rob us. She got tight right now. We're holding her down. Okay. What address you at?
AUD-043,Audio,C043,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hello? Hello, I'm floating down the river in my car. Okay, what river are you on? I'm..."
AUD-044,Audio,C044,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, I need an ambulance on hard stones. Okay, we're in the airport."
AUD-045,Audio,C045,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: with that little boy missing. Have you had any reports on one? No, I'm sure haven't."
AUD-046,Audio,C046,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: We need police. Let's find a bike by 5.23. Let's find on them, man."
AUD-047,Audio,C047,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: man please help me I'm a county road 900 to 600 will build the TV towers and
AUD-048,Audio,C048,Emergency Report,America,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm working to please my, I'm with you right here at America. I don't need largest, but"
AUD-049,Audio,C049,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm not a prospect but I need to have somebody go to my brother's house.
AUD-050,Audio,C050,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: one one. Hey, my friend is having a feature. Where are you at?"
AUD-051,Audio,C051,Crime/Assault,N/A,N/A,8.5,High,"Sentiment: Distressed | Transcript: Hello? Yes. We've just been robbed. Where? 220,000."
AUD-052,Audio,C052,Crime/Assault,Springs Community School,N/A,8.5,High,"Sentiment: Distressed | Transcript: High Springs Community School, I called 911 a few minutes ago. We have, I heard several gunshots outside."
AUD-053,Audio,C053,Emergency Report,South Reno,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, I need an ambulance to 12 mark in South Reno. Okay, let's go on. Others."
AUD-054,Audio,C054,Emergency Report,Tea & Athletic,N/A,4.0,Medium,Sentiment: Calm | Transcript: but I'm leavingMANUS to Tea & Athletic should be on call to you Apple的話 to orders I don't know if he has any details In Octital рав
AUD-055,Audio,C055,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: 4980. I'm talking to my daughter right now. 4980. I'm talking to my daughter. Listen to me. Who is it? Three from the middle.
AUD-056,Audio,C056,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: It's been a demolishing of a house and there is a woman inside and we need someone to come
AUD-057,Audio,C057,Crime/Assault,Big Five,N/A,8.5,High,"Sentiment: Distressed | Transcript: to help you. Hi, this is Latisha from store Big Five on Green Valley. I have a person that is robbing me."
AUD-058,Audio,C058,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, ma'am, my neighbor just ran over so someone tried to kill her in her house. I don't know what."
AUD-059,Audio,C059,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: 901My cleanse is beingught out. Political text decree in the most of the unusable.
AUD-060,Audio,C060,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, I've got kind of like a knife. My father don't leave a little bit of air. He's 79 years old."
AUD-061,Audio,C061,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: My husband is up in the attic and he's not responding.
AUD-062,Audio,C062,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I need to report a murder. Okay, where is that? 157 red-"
AUD-063,Audio,C063,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, it's very much right there in the back. I just think I just found out where you are."
AUD-064,Audio,C064,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm Joan Pearson and I just killed two people.
AUD-065,Audio,C065,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hey, I told you some rally. We've got a medical aburge that 4500"
AUD-066,Audio,C066,Emergency Report,Target,N/A,4.0,Medium,Sentiment: Calm | Transcript: I just got back from work. From Target. I'm at 330.
AUD-067,Audio,C067,Emergency Report,Westport Shopping Center,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, we need an ambulance. We're at Westport Shopping Center right outside."
AUD-068,Audio,C068,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: No, no, no! No, no! No, no!"
AUD-069,Audio,C069,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, excuse me, so some helicopter is came down. The helicopter came down."
AUD-070,Audio,C070,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, helicopter just crashed. A helicopter just crashed? Yes, sir. I think we're about to get started."
AUD-071,Audio,C071,Crime/Assault,Avenue,N/A,8.5,High,"Sentiment: Distressed | Transcript: Good enough, Avenue. Someone is running around the neighborhood shooting a gun. Okay, they're in a car."
AUD-072,Audio,C072,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hey, who's it? Sheriff's office can I help you? Yeah, who's this, Gendy? Who's it?"
AUD-073,Audio,C073,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: of your emergency. A month has spoken to my house and my time is taking. Please come hurry. Okay, what's your address?"
AUD-074,Audio,C074,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Do I need any of them to please after or won't? Okay, you need a police officer? Yeah"
AUD-075,Audio,C075,Emergency Report,Third Avenue,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Oh my God, I'm on third Avenue to wherever I'll track somebody just tried to jump on the train and sever her legs."
AUD-076,Audio,C076,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I hopped, there's a sitting on arm, yeah, like we're sitting. Sitting with, sitting there, I hopped, in the ass."
AUD-077,Audio,C077,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: obviously.
AUD-078,Audio,C078,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I have just smothered my way.
AUD-079,Audio,C079,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: We're on the boat right now. My friend says, got it by the shark. We have to make..."
AUD-080,Audio,C080,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, I got I just shot someone in my business on that 59 31"
AUD-081,Audio,C081,Emergency Report,Silbeach,N/A,4.0,Medium,"Sentiment: Calm | Transcript: We got some shootings over here in Silbeach. Okay, where? The salon in the Maritala."
AUD-082,Audio,C082,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I just killed someone, a hundred, about 40."
AUD-083,Audio,C083,Emergency Report,La Clacetta,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Okay, yes, Emily, Katie, and the traffic search. She's in the city of La Clacetta and her accelerators suspect she can't stop the vehicle."
AUD-084,Audio,C084,Emergency Report,Minette,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I got a report of shooting. Okay, where? Lehigh Hansen for Minette."
AUD-085,Audio,C085,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: We need the police here. Okay, what's the address of the emergency? The other."
AUD-086,Audio,C086,Fire/Structure Incident,Route 7,N/A,8.5,High,"Sentiment: Distressed | Transcript: Okay, we've got a fire down here at the Route 7 right here at Abington."
AUD-087,Audio,C087,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I want to tell you what's happening first. I just killed my wife. There's no where you're at. What? Where you need to pull.
AUD-088,Audio,C088,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: What do we say? What happened? I'm sorry, I'm sorry. I'm sorry."
AUD-089,Audio,C089,Emergency Report,South Mim2,N/A,4.0,Medium,Sentiment: Calm | Transcript: We have been shot at a house in South Mim2. We have three children and we leave somebody here now.
AUD-090,Audio,C090,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: You said, I instead come to concert say"
AUD-091,Audio,C091,Emergency Report,The Noseville For Vata,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm behind the Noseville for Vata, license plate, CEG 8148, and we've been all over the road."
AUD-092,Audio,C092,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: 4202 Mallor circle. Two men have just crossed my fence to try.
AUD-093,Audio,C093,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: What city are you in?
AUD-094,Audio,C094,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I am going eastbound on I-10 between LA-30 and LA-44.
AUD-095,Audio,C095,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, we need officer right now. There's a man shooting at the lady. We need a cop. We're at. We're on it."
AUD-096,Audio,C096,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, ma'am. This is the old and the great the the the the the the the the the the the the the the the the the"
AUD-097,Audio,C097,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: your meditation. I am a little boy having a new name. Let me get a gun nest. Don't hang up sir.
AUD-098,Audio,C098,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Okay, I call before and I already pay in back. All right, so aren't we going to..."
AUD-099,Audio,C099,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, I'm putting myself in for my husband, the number."
AUD-100,Audio,C100,Emergency Report,Sophie,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm someone's breaking into my house. Wish I'd grab. Sophie, six, seven, eight, four, five, what?"
AUD-101,Audio,C101,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I know. I'm sorry, Gordon. I know when she shot me with... I can go."
AUD-102,Audio,C102,Emergency Report,B.I.C.,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, sir. I've got this middle school. We have a student with a dunking up help us out. Please call B.I.C. police also"
AUD-103,Audio,C103,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm not sure if I'm going to get by train. Why was you hit by a train? My friend. Where are you?
AUD-104,Audio,C104,Emergency Report,Walmart,N/A,4.0,Medium,Sentiment: Calm | Transcript: an ambulance to the south side Walmart immediately. What's going on? I have a man shot.
AUD-105,Audio,C105,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: You said it doesn't matter to anyone. You pressed Or novice and you turned a river, you turned a river in me again. You shot him. You shot him."
AUD-106,Audio,C106,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm hoping. I'll leave in the lab, I think someone is trying to come in."
AUD-107,Audio,C107,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I need a nice grey billed place, I don't care who's 15612."
AUD-108,Audio,C108,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I don't know but you have 4,000"
AUD-109,Audio,C109,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: We have a I think we have a dead person in here. Okay. I don't know what happened.
AUD-110,Audio,C110,Crime/Assault,Wonder Rock,N/A,8.5,High,"Sentiment: Distressed | Transcript: I'm almost in Wonder Rock, the US bank, and I just need to be sure to tell myself then."
AUD-111,Audio,C111,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: What are you? The emergency hotline. Who are you?
AUD-112,Audio,C112,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: It's a business. I believe it's been robbed. What's the name of the business? Flying biscuit.
AUD-113,Audio,C113,Emergency Report,Mcdonald,N/A,4.0,Medium,"Sentiment: Calm | Transcript: and what is your emergency? Hi, my name is Mickey. I'm the manager at the McDonald's. I'm very intrigued. Yeah. There's a woman who is so cute."
AUD-114,Audio,C114,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I think we're on 75. I 75? Yes. Okay.
AUD-115,Audio,C115,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Something is going on. Do you know the south number?
AUD-116,Audio,C116,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I keep blow-drow. We have blitz. Okay, I'm sorry you have blitz."
AUD-117,Audio,C117,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Are you out of the house yet? No. Or I get out of the house. We can't.
AUD-118,Audio,C118,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: emergency. My focus is on that please come. We're going to say the address is not here for me. What city are you in?
AUD-119,Audio,C119,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Oh, darling, he's ill. Who is this? I told my father right to help."
AUD-120,Audio,C120,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Include? Just because he's someone to you?
AUD-121,Audio,C121,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Um, we have somebody. Sorry."
AUD-122,Audio,C122,Traffic Accident,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I think somebody is breaking in the house. We just came from school and put our pajamas on. We really scared.
AUD-123,Audio,C123,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Um, I always offers, kind of, my mom's on a floor."
AUD-124,Audio,C124,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: emergency. I just shot my wife. Can you tell me the address that you're off?
AUD-125,Audio,C125,Emergency Report,The Walmart Super Center,N/A,4.0,Medium,Sentiment: Calm | Transcript: I think we need a place at the Walmart Super Center in Miss Kogi. That's what we got.
AUD-126,Audio,C126,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, I need the Polo here. 963, he's 363. There's somebody in the house with a grimole."
AUD-127,Audio,C127,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: corner of 119 and counting road 1 we just saw plane go down to the
AUD-128,Audio,C128,Traffic Accident,Union,N/A,4.0,Medium,"Sentiment: Calm | Transcript: A plane just crashed. Okay, you said three miles south of Union reservoir."
AUD-129,Audio,C129,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, it is a police station. Yes, it is. May I help you? Yes, okay. I put this as ridiculous."
AUD-130,Audio,C130,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I know there's an ambulance on the TV for this little boy. Okay. And there's a young man.
AUD-131,Audio,C131,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hi, we just witnessed the vehicle accident on the train ja"
AUD-132,Audio,C132,Traffic Accident,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: There's a horrible accident on 7 mile fare in highway 94.
AUD-133,Audio,C133,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hi, there was a accident. We just witnessed three cars just been full motion."
AUD-134,Audio,C134,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I was told to call my dad to tell whatever I had.
AUD-135,Audio,C135,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: He only found his dad's old proofs best, but I don't know."
AUD-136,Audio,C136,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Hello. Just for Blast. Hello.
AUD-137,Audio,C137,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: There has been a murder suicide. There is no survivors. Please send help. Okay, what's going on? Who? What's going on?"
AUD-138,Audio,C138,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: यह पलीज वारा हैं वार वार वार वार वार वार वार
AUD-139,Audio,C139,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yeah, I'd like to report it to you, please. Okay. Be the thrills."
AUD-140,Audio,C140,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I just shot my wife. Okay, and what's your address?"
AUD-141,Audio,C141,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yo! Cole Kunner! Uh oh, stop So... I'm dead! It's okay man!"
AUD-142,Audio,C142,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: A woman came under her house screaming that her son had shot for her husband.
AUD-143,Audio,C143,Crime/Assault,N/A,N/A,8.5,High,"Sentiment: Distressed | Transcript: Hi, I hear a girlfriend just pulled up and there's a guy pull up and truck behind him and we think he has a gun."
AUD-144,Audio,C144,Emergency Report,Unshots,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hi, Edons, Unshots. We're all on the floor. You're doing what? They think Unshots."
AUD-145,Audio,C145,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm not talking about this. I'm talking about this. I'm talking about this.
AUD-146,Audio,C146,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Someone with murder, I think. Where are you? No, please, you're gonna let me... I need you."
AUD-147,Audio,C147,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: It was guys just in my mom and my niece and my sister all the while they've been treated.
AUD-148,Audio,C148,Crime/Assault,N/A,N/A,8.5,High,"Sentiment: Distressed | Transcript: I have a gun shop victim here. Okay, I'm going to hurry."
AUD-149,Audio,C149,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I just come in to pick it up my trash and my major is in the house. I've got no...
AUD-150,Audio,C150,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: в<|es|> pesar務
AUD-151,Audio,C151,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: You need to see this ran over and they said that the boy just shot his mom. We've had to pull.
AUD-152,Audio,C152,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I requested a state police to come out. I would like state police to...
AUD-153,Audio,C153,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was.
AUD-154,Audio,C154,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: in 59 to capture races. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in the bed after a mall.
AUD-155,Audio,C155,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: exit of this game coming from the beach. There's a guy that's completely naked who has closed all of the...
AUD-156,Audio,C156,Traffic Accident,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: There's a naked man or the men's cars way at the end of the car way coming towards this
AUD-157,Audio,C157,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: So hi I'm Erie C. I'm Erie C. I'm my great-for-delie.
AUD-158,Audio,C158,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I have a boy that was underwater and he's not breathing. How old is the boy? Four.
AUD-159,Audio,C159,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Are you inside the house? Yes. Are you alone inside the house? Yes.
AUD-160,Audio,C160,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: someone on the back porch of black man. And what is your address? 3613 lady woodland.
AUD-161,Audio,C161,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm gonna take a look at how I put it. How the power of this kit. Well, we'll put it up over there now."
AUD-162,Audio,C162,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm going to come and stop. Where are you at? I'm at the end.
AUD-163,Audio,C163,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: What kind of appearance is that? Your wet? What kind of appearance is that? Your panty is a shot.
AUD-164,Audio,C164,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: We had several police tire earlier and did a report.
AUD-165,Audio,C165,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Oh, right, brother. It's having a great time in the hotel. Okay."
AUD-166,Audio,C166,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I just strangled my girlfriend. You just strangled your girlfriend? Yep. What's your name?
AUD-167,Audio,C167,Traffic Accident,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Okay, we've had an airboat accident. I'm not sure if they're all injuries. I don't know to what extent."
AUD-168,Audio,C168,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hey, I see a mead down"
AUD-169,Audio,C169,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: A fan of that support Oh Drink
