Incident_ID,Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
AUD-091,C091,"I'm behind the Noseville for Vata, license plate, CEG 8148, and we've been all over the road.",Emergency Report,The Noseville For Vata,Calm,0.4
AUD-092,C092,4202 Mallor circle. Two men have just crossed my fence to try.,Emergency Report,Unknown Location,Calm,0.4
AUD-093,C093,What city are you in?,Emergency Report,Unknown Location,Calm,0.4
AUD-094,C094,I am going eastbound on I-10 between LA-30 and LA-44.,Emergency Report,Unknown Location,Calm,0.4
AUD-095,C095,"Yes, we need officer right now. There's a man shooting at the lady. We need a cop. We're at. We're on it.",Emergency Report,Unknown Location,Calm,0.4
AUD-096,C096,"Yes, ma'am. This is the old and the great the the the the the the the the the the the the the the the the the",Emergency Report,Unknown Location,Calm,0.4
AUD-097,C097,your meditation. I am a little boy having a new name. Let me get a gun nest. Don't hang up sir.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-098,C098,"Okay, I call before and I already pay in back. All right, so aren't we going to...",Emergency Report,Unknown Location,Calm,0.4
AUD-099,C099,"Yeah, I'm putting myself in for my husband, the number.",Emergency Report,Unknown Location,Calm,0.4
AUD-100,C100,"I'm someone's breaking into my house. Wish I'd grab. Sophie, six, seven, eight, four, five, what?",Emergency Report,Sophie,Calm,0.4
AUD-101,C101,"I know. I'm sorry, Gordon. I know when she shot me with... I can go.",Emergency Report,Unknown Location,Calm,0.4
AUD-102,C102,"Yes, sir. I've got this middle school. We have a student with a dunking up help us out. Please call B.I.C. police also",Emergency Report,B.I.C.,Calm,0.4
AUD-103,C103,I'm not sure if I'm going to get by train. Why was you hit by a train? My friend. Where are you?,Emergency Report,Unknown Location,Calm,0.4
AUD-104,C104,an ambulance to the south side Walmart immediately. What's going on? I have a man shot.,Emergency Report,Walmart,Calm,0.4
AUD-105,C105,"You said it doesn't matter to anyone. You pressed Or novice and you turned a river, you turned a river in me again. You shot him. You shot him.",Emergency Report,Unknown Location,Calm,0.4
AUD-106,C106,"I'm hoping. I'll leave in the lab, I think someone is trying to come in.",Emergency Report,Unknown Location,Calm,0.4
AUD-107,C107,"I need a nice grey billed place, I don't care who's 15612.",Traffic Accident,Unknown Location,Calm,0.4
AUD-108,C108,"I don't know but you have 4,000",Emergency Report,Unknown Location,Calm,0.4
AUD-109,C109,We have a I think we have a dead person in here. Okay. I don't know what happened.,Emergency Report,Unknown Location,Calm,0.4
AUD-110,C110,"I'm almost in Wonder Rock, the US bank, and I just need to be sure to tell myself then.",Crime/Assault,Wonder Rock,Distressed,0.85
AUD-111,C111,What are you? The emergency hotline. Who are you?,Emergency Report,Unknown Location,Calm,0.4
AUD-112,C112,It's a business. I believe it's been robbed. What's the name of the business? Flying biscuit.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-113,C113,"and what is your emergency? Hi, my name is Mickey. I'm the manager at the McDonald's. I'm very intrigued. Yeah. There's a woman who is so cute.",Emergency Report,Mcdonald,Calm,0.4
AUD-114,C114,I think we're on 75. I 75? Yes. Okay.,Emergency Report,Unknown Location,Calm,0.4
AUD-115,C115,Something is going on. Do you know the south number?,Emergency Report,Unknown Location,Calm,0.4
AUD-116,C116,"I keep blow-drow. We have blitz. Okay, I'm sorry you have blitz.",Emergency Report,Unknown Location,Calm,0.4
AUD-117,C117,Are you out of the house yet? No. Or I get out of the house. We can't.,Emergency Report,Unknown Location,Calm,0.4
AUD-118,C118,emergency. My focus is on that please come. We're going to say the address is not here for me. What city are you in?,Emergency Report,Unknown Location,Calm,0.4
AUD-119,C119,"Oh, darling, he's ill. Who is this? I told my father right to help.",Emergency Report,Unknown Location,Calm,0.4
AUD-120,C120,Include? Just because he's someone to you?,Emergency Report,Unknown Location,Calm,0.4
AUD-121,C121,"Um, we have somebody. Sorry.",Emergency Report,Unknown Location,Calm,0.4
AUD-122,C122,I think somebody is breaking in the house. We just came from school and put our pajamas on. We really scared.,Traffic Accident,Unknown Location,Calm,0.4
AUD-123,C123,"Um, I always offers, kind of, my mom's on a floor.",Emergency Report,Unknown Location,Calm,0.4
AUD-124,C124,emergency. I just shot my wife. Can you tell me the address that you're off?,Emergency Report,Unknown Location,Calm,0.4
AUD-125,C125,I think we need a place at the Walmart Super Center in Miss Kogi. That's what we got.,Emergency Report,The Walmart Super Center,Calm,0.4
AUD-126,C126,"Yeah, I need the Polo here. 963, he's 363. There's somebody in the house with a grimole.",Emergency Report,Unknown Location,Calm,0.4
AUD-127,C127,corner of 119 and counting road 1 we just saw plane go down to the,Emergency Report,Unknown Location,Calm,0.4
AUD-128,C128,"A plane just crashed. Okay, you said three miles south of Union reservoir.",Traffic Accident,Union,Calm,0.4
AUD-129,C129,"Yes, it is a police station. Yes, it is. May I help you? Yes, okay. I put this as ridiculous.",Emergency Report,Unknown Location,Calm,0.4
AUD-130,C130,I know there's an ambulance on the TV for this little boy. Okay. And there's a young man.,Emergency Report,Unknown Location,Calm,0.4
AUD-131,C131,"Hi, we just witnessed the vehicle accident on the train ja",Traffic Accident,Unknown Location,Calm,0.4
AUD-132,C132,There's a horrible accident on 7 mile fare in highway 94.,Traffic Accident,Unknown Location,Calm,0.4
AUD-133,C133,"Hi, there was a accident. We just witnessed three cars just been full motion.",Traffic Accident,Unknown Location,Calm,0.4
AUD-134,C134,I was told to call my dad to tell whatever I had.,Emergency Report,Unknown Location,Calm,0.4
AUD-135,C135,"He only found his dad's old proofs best, but I don't know.",Emergency Report,Unknown Location,Calm,0.4
AUD-136,C136,Hello. Just for Blast. Hello.,Emergency Report,Unknown Location,Calm,0.4
AUD-137,C137,"There has been a murder suicide. There is no survivors. Please send help. Okay, what's going on? Who? What's going on?",Emergency Report,Unknown Location,Calm,0.4
AUD-138,C138,यह पलीज वारा हैं वार वार वार वार वार वार वार,Emergency Report,Unknown Location,Calm,0.4
AUD-139,C139,"Yeah, I'd like to report it to you, please. Okay. Be the thrills.",Emergency Report,Unknown Location,Calm,0.4
AUD-140,C140,"I just shot my wife. Okay, and what's your address?",Emergency Report,Unknown Location,Calm,0.4
AUD-141,C141,"Yo! Cole Kunner! Uh oh, stop So... I'm dead! It's okay man!",Emergency Report,Unknown Location,Calm,0.4
AUD-142,C142,A woman came under her house screaming that her son had shot for her husband.,Emergency Report,Unknown Location,Calm,0.4
AUD-143,C143,"Hi, I hear a girlfriend just pulled up and there's a guy pull up and truck behind him and we think he has a gun.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-144,C144,"Hi, Edons, Unshots. We're all on the floor. You're doing what? They think Unshots.",Emergency Report,Unshots,Calm,0.4
AUD-145,C145,I'm not talking about this. I'm talking about this. I'm talking about this.,Emergency Report,Unknown Location,Calm,0.4
AUD-146,C146,"Someone with murder, I think. Where are you? No, please, you're gonna let me... I need you.",Emergency Report,Unknown Location,Calm,0.4
AUD-147,C147,It was guys just in my mom and my niece and my sister all the while they've been treated.,Emergency Report,Unknown Location,Calm,0.4
AUD-148,C148,"I have a gun shop victim here. Okay, I'm going to hurry.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-149,C149,I just come in to pick it up my trash and my major is in the house. I've got no...,Emergency Report,Unknown Location,Calm,0.4
AUD-150,C150,в<|es|> pesar務,Emergency Report,Unknown Location,Calm,0.4
AUD-151,C151,You need to see this ran over and they said that the boy just shot his mom. We've had to pull.,Emergency Report,Unknown Location,Calm,0.4
AUD-152,C152,I requested a state police to come out. I would like state police to...,Emergency Report,Unknown Location,Calm,0.4
AUD-153,C153,I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-154,C154,in 59 to capture races. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in the bed after a mall.,Emergency Report,Unknown Location,Calm,0.4
AUD-155,C155,exit of this game coming from the beach. There's a guy that's completely naked who has closed all of the...,Emergency Report,Unknown Location,Calm,0.4
AUD-156,C156,There's a naked man or the men's cars way at the end of the car way coming towards this,Traffic Accident,Unknown Location,Calm,0.4
AUD-157,C157,So hi I'm Erie C. I'm Erie C. I'm my great-for-delie.,Emergency Report,Unknown Location,Calm,0.4
AUD-158,C158,I have a boy that was underwater and he's not breathing. How old is the boy? Four.,Emergency Report,Unknown Location,Calm,0.4
AUD-159,C159,Are you inside the house? Yes. Are you alone inside the house? Yes.,Emergency Report,Unknown Location,Calm,0.4
AUD-160,C160,someone on the back porch of black man. And what is your address? 3613 lady woodland.,Emergency Report,Unknown Location,Calm,0.4
AUD-161,C161,"I'm gonna take a look at how I put it. How the power of this kit. Well, we'll put it up over there now.",Emergency Report,Unknown Location,Calm,0.4
AUD-162,C162,I'm going to come and stop. Where are you at? I'm at the end.,Emergency Report,Unknown Location,Calm,0.4
AUD-163,C163,What kind of appearance is that? Your wet? What kind of appearance is that? Your panty is a shot.,Emergency Report,Unknown Location,Calm,0.4
AUD-164,C164,We had several police tire earlier and did a report.,Emergency Report,Unknown Location,Calm,0.4
AUD-165,C165,"Oh, right, brother. It's having a great time in the hotel. Okay.",Emergency Report,Unknown Location,Calm,0.4
AUD-166,C166,I just strangled my girlfriend. You just strangled your girlfriend? Yep. What's your name?,Emergency Report,Unknown Location,Calm,0.4
AUD-167,C167,"Okay, we've had an airboat accident. I'm not sure if they're all injuries. I don't know to what extent.",Traffic Accident,Unknown Location,Calm,0.4
AUD-168,C168,"Hey, I see a mead down",Emergency Report,Unknown Location,Calm,0.4
AUD-169,C169,A fan of that support Oh Drink,Emergency Report,Unknown Location,Calm,0.4
AUD-170,C170,I'm going to go now. I'll be right there. Do you have a hand for them? Yes. Do you have a hand for them?,Emergency Report,Unknown Location,Calm,0.4
AUD-171,C171,Habt Ihr Lävauge da something ?,Emergency Report,Unknown Location,Calm,0.4
AUD-172,C172,I was just going to six temple and there was a I was in the parking lot and there was a bunch of,Emergency Report,Unknown Location,Calm,0.4
AUD-173,C173,"Yes, somebody just send my baby please get here. They just did what?",Emergency Report,Unknown Location,Calm,0.4
AUD-174,C174,"Oh, there's a fucking dead man in the car. Roger for me, young.",Traffic Accident,Unknown Location,Calm,0.4
AUD-175,C175,Can I help you? Somebody who's broken our daughter's trying to break into my bedroom. What's your address?,Emergency Report,Unknown Location,Calm,0.4
AUD-176,C176,"Please, before I get through, I have my shirt in here. The shirt is where, where on issue the cat, where at?",Emergency Report,Unknown Location,Calm,0.4
AUD-177,C177,"Please fire. 9-1-1. My hands will be having a harder time. Brooke, we're going to start CPR on the hem. Okay?",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-178,C178,you. I'll do you off with the shots. With what agency sir?,Emergency Report,Unknown Location,Calm,0.4
AUD-179,C179,I just killed my mom and my sister. What? I just killed my mom and my sister.,Emergency Report,Unknown Location,Calm,0.4
AUD-180,C180,How come because I'm at a port in my side and this is it? What park are you in?,Emergency Report,Unknown Location,Calm,0.4
AUD-181,C181,"We have two boards, two boards. Do you have lights to service? We have lights to service. Are you in the water now?",Emergency Report,Unknown Location,Calm,0.4
AUD-182,C182,"It's been with gardens and sin as possible to the ladies. It was like, I've never had a hard problem. What is a dad's life?",Crime/Assault,Unknown Location,Distressed,0.85
AUD-183,C183,I just committed a father's worst sin. Okay. I just shot my daughter and...,Emergency Report,Unknown Location,Calm,0.4
AUD-184,C184,"Yes, I have a three year old who's not breathing. To address men. 1 6 0 9 7 Northwater.",Emergency Report,Unknown Location,Calm,0.4
AUD-185,C185,I have an emergency. I have three dead people up on top. It's called Hanley flat up Wolfhand. My name is,Emergency Report,Hanley,Calm,0.4
AUD-186,C186,"Who's finished shooting? Okay, who was shot?",Emergency Report,Unknown Location,Calm,0.4
AUD-187,C187,"N5631, Sahel Road.",Emergency Report,Unknown Location,Calm,0.4
AUD-188,C188,"Um, I don't know a guy stopped me. I think his wife is strong with his wife. He's",Emergency Report,Unknown Location,Calm,0.4
AUD-189,C189,We need help my husband to shop my son,Emergency Report,Unknown Location,Calm,0.4
AUD-190,C190,"Place, this is Dale Ford, Passdresser, 217th. I'm called a bugger or in my shop. 217 North 7.",Emergency Report,Unknown Location,Calm,0.4
AUD-191,C191,"Come on in your side, busing up vehicle man. I don't know where you're at, where are you?",Emergency Report,Unknown Location,Calm,0.4
AUD-192,C192,"have you got any reports of a building exposure? Yes we have, it's going to be Jerry Maschick in North La...",Emergency Report,North La,Calm,0.4
AUD-193,C193,"I love this in the middle of the night. Get the hell out of my life, baby! There's a lot of good bad kids, baby!",Emergency Report,Unknown Location,Calm,0.4
AUD-194,C194,We just have the explosion at the front of our door. Yes sir. The chemical delivery is coming.,Emergency Report,Unknown Location,Calm,0.4
AUD-195,C195,"Gary Masek-Grab, all the house blew up. Now's the windshield out of my pick-up.",Emergency Report,Unknown Location,Calm,0.4
AUD-196,C196,Thank you very much.,Emergency Report,Unknown Location,Calm,0.4
AUD-197,C197,"Yes, the 1000 exploded. Okay, what's the end like? 1879.",Emergency Report,Unknown Location,Calm,0.4
AUD-198,C198,"Oh, dude, the guy with the Josh suit is a new world ball right now. He's a sucker with the ball right now. Okay, can I have a...",Emergency Report,Unknown Location,Calm,0.4
AUD-199,C199,"I'm a name of Hans Walters. I work for a lot of Vegas, much upon a police department.",Emergency Report,Unknown Location,Calm,0.4
AUD-200,C200,Can you please send rescue to I think I'm having,Emergency Report,Unknown Location,Calm,0.4
AUD-201,C201,"I'm out of saw high school, there's a guy with a gun. Let's go to the chase, go. Last one's saw.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-202,C202,You need police fire ambulance.,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-203,C203,"We have a shooter in the store. Okay, do you know if anybody's injured?",Emergency Report,Unknown Location,Calm,0.4
AUD-204,C204,Okay. Okay. I need to get your stuff to a safe location.,Emergency Report,Unknown Location,Calm,0.4
AUD-205,C205,emergency. We're out of the town center.,Emergency Report,Unknown Location,Calm,0.4
AUD-206,C206,"911. Clackerman's town center, Frederick's of Hollywood, fired in the mouth. Okay, there will be other words.",Fire/Structure Incident,Clackerman,Distressed,0.85
AUD-207,C207,"Hi, I'm a suicidal teenager at House 503 Nighthawk Drive. I need an ambulance immediately.",Emergency Report,House 503 Nighthawk Drive,Calm,0.4
AUD-208,C208,"500 feet, roll the cop, roll an ambulance, shots fired, a baby's been hit in the head.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-209,C209,Can you get an ambulance in a cop? Get the over to 59 Alderwood drives. 59 what? Alderwood.,Emergency Report,Unknown Location,Calm,0.4
AUD-210,C210,"Hi, the gentleman was just talking to me about someone who's broken.",Emergency Report,Unknown Location,Calm,0.4
AUD-211,C211,"But, hurry up, this is the bivy. It happened. This is the bivy. He can't snuck it on my door earlier.",Emergency Report,Unknown Location,Calm,0.4
AUD-212,C212,But we went to the quails unlimited dinner last night and the cylinder might hear it looks like you hit it head in the...,Emergency Report,Unknown Location,Calm,0.4
AUD-213,C213,Get empty over here. Come under in shot 1220. Call the grab avenue 1220,Emergency Report,The Grab Avenue,Calm,0.4
AUD-214,C214,[Background noise / Dispatched tone / No clear speech],Emergency Report,Unknown Location,Calm,0.2
AUD-215,C215,"I'm at 69, 69 East Main. My son just shot his wife.",Emergency Report,Unknown Location,Calm,0.4
AUD-216,C216,"I don't know. Yes sir, I do push car right now. 504J3. 5041.",Traffic Accident,Unknown Location,Calm,0.4
AUD-217,C217,"Yes, ma'am. Yeah, this is your last seat. Shot fired, same thing.",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-218,C218,"Yeah, I just attend to kill my mother if I step out there. Okay, where are you at sir?",Emergency Report,Unknown Location,Calm,0.4
AUD-219,C219,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to see if you are like...",Emergency Report,Unknown Location,Calm,0.4
AUD-220,C220,"My neighbor's house is burning down at 312 Washington Avenue. We're on our ways, anybody inside?",Fire/Structure Incident,Washington Avenue,Distressed,0.85
AUD-221,C221,Great job Looking so long Did we both need to go from here?,Emergency Report,Unknown Location,Calm,0.4
AUD-222,C222,I'm reporting an airplane crash at a SSO. An airplane crash at SSO?,Traffic Accident,Sso,Calm,0.4
AUD-223,C223,"high, we just, where's the emphasis to airport in our airplane just crashed upon landing.",Traffic Accident,Unknown Location,Calm,0.4
AUD-224,C224,"I'm in the hammer now, I'm going to wait. To wait a little bit. Wait a little bit.",Emergency Report,Unknown Location,Calm,0.4
AUD-225,C225,"Why did I move the fire alarm office? Okay, this is county. It's a matter of...",Fire/Structure Incident,Unknown Location,Distressed,0.85
